Jedi de l'Ouest 2020 ,Jedi de l'Ouest PLUGUFFAN,Bretagne,FR,2020-08-23,Extended,Store Event,36
X-Wing 2020 Summer Tournament,Wellplayed,Dübendorf,CH,2020-08-23,Extended,Store Event,20
SGF X-WING STORE CHAMPIONSHIP 2020,SGF,ShangHai,CN,2020-08-22,Hyperspace,Store Event,14
B.O.T.S. R2D2,,Ontario,CA,2020-08-22,Extended,Casual Event,10
Corellia - Galactic Championship Qualifier ,Los Angeles,California,US,2020-08-22,Extended,Other,218
36 Torneo Xwing Icarus jocs,Icarus jocs,Malgrat de mar,ES,2020-08-16,Hyperspace,Casual Event,10
050 Squadron Epic Tournament,050-squadron,Groningen,NL,2020-08-16,Custom,Casual Event,5
BLAKFYRE GAMES - AUGUST 2020 - EXTENDED TOURNAMENT,Blakfyre Games,UT,US,2020-08-15,Extended,Store Event,15
OPEN AIR RONDELLE CUP EP.1,Le Grenier d'Elvire,Brussels,,2020-08-09,Extended,Store Event,19
B.O.T.S. BT-1,TTS,Ontario,CA,2020-08-09,Extended,Casual Event,16
Outer Rim IV Savaria,MÁV SZK,Szombathely,HU,2020-08-09,Extended,Casual Event,12
MUDHORN CASUAL 2 AT RSH,RSH,Arizona,US,2020-08-08,Extended,Casual Event,13
ROLLING DICE HYPERSPACE SEASON 2020-1 TOURNAMENT 1,Rolling Dice,Lima,PE,2020-08-07,Hyperspace,Store Event,25
Royal Shark Hangar Bay 2nd EDITION,TTS,Pernambuco,BR,2020-07-31,Extended,Casual Event,16
35 Torneo Xwing Icarus jocs,Icarus jocs,Malgrat de mar,ES,2020-07-26,Extended,Casual Event,8
SGF MONTHLY STORE TOURNAMENT 2020/07,SGF,Shanghai,CN,2020-07-25,Extended,Store Event,16
Store Championship St. GAllen,Historica Tabletop,St. GAllen,CH,2020-07-25,Hyperspace,Other,18
Outpost store championship,Outpost Gent,Oost-Vlaanderen,BE,2020-07-25,Hyperspace,Store Event,16
The Tournoi du Déconfinement,,,FR,2020-07-21,Hyperspace,Casual Event,44
ESCOLA DE TREINAMENTO BRUXOS FLORIPA,Florianópolis,Santa Catarina,BR,2020-07-19,Extended,Casual Event,16
050-squadron Out of darkness tournament,050-squadron,Groningen,NL,2020-07-19,Hyperspace,Casual Event,8
Mudhorn Casual,RSH ,Arizona ,US,2020-07-18,Extended,Store Event,12
PERKY NERD TTS DRAFT WELTERWEIGHT JULY/AUGUST LEAGUE ,The Perky Nerd,California,US,2020-07-13,Custom,Store Event,14
Outpost casual tournament,Outpost Gent,Oost-Vlaanderen,BE,2020-07-11,Extended,Casual Event,9
Tournoi du déconfinement chez les lutins du cotentin,Virandeville,Normandie,FR,2020-07-10,Extended,Casual Event,10
X-WING SUMMER HIBERCUP 2020,Russia,,,2020-07-01,Extended,Casual Event,16
Corona 2: Electric Boogaloo,,,,2020-06-29,Extended,Other,42
Blakfyre 3 Round Hyperspace Tournament,Blakfyre Games,UT,US,2020-06-27,Hyperspace,Casual Event,13
3rd Aussie Wing,Freo,WA,AU,2020-06-20,Extended,Store Event,12
2nd Aussie Wing,Freo,WA,AU,2020-06-15,Extended,Store Event,10
LIGA CAPIXABA X-WING - LIGA  TTS ONLINE,On line,ESPÍRITO SANTO ,BR,2020-06-14,Custom,Casual Event,6
Tilbake til bretter,Midgard Games,,NO,2020-06-14,Extended,Store Event,6
Digital Team Trophy - 3 Player 1 Cup (3P1C),Squadrona HQ,USS Enterprise,MT,2020-06-13,Extended,Casual Event,24
SHANGHAI MONTHLY TOURNAMENT JUNE ,SGF,Shanghai,CN,2020-06-13,Hyperspace,Casual Event,12
TGG Store Championship 2,Tucson Games and Gadgets,Arizona,US,2020-06-13,Hyperspace,Store Event,15
Eagle's Teeny Tiny TTS Tournament ,London ,Tabletop Simulator ,GB,2020-06-13,Extended,Casual Event,8
Rolling Dice Peru Tournament 2020-1,Rolling Dice,Lima,PE,2020-06-10,Extended,Store Event,19
1st Aussie Wing,Freo,WA,AU,2020-06-10,Extended,Other,8
Royal Shark Hangar Bay TTS da Quarentena,TTS,Pernambuco,BR,2020-06-10,Extended,Casual Event,15
JÚNIUSI ONLINE X-WING VERSENY,VASSAL,Budapest,HU,2020-06-07,Extended,Other,12
Space Jam Sydney Championship,Sydney,NSW,AU,2020-06-06,Extended,Other,143
Corona Renegades: Mando Take Over,,,,2020-06-04,Extended,Casual Event,57
Nighty Cup II - attack of the sandmen,,,DE,2020-05-30,Extended,Casual Event,28
GSP Space Jam #3 - Los Angeles,Los Angeles,CA,US,2020-05-30,Extended,Other,148
ROLLING DICE- Tournament May season ,Rolling Dice,Lima,PE,2020-05-24,Extended,Store Event,20
CAMPEONATO X-WING - LIGA CAPIXABA - MAIO 2020,TTS,Espírito Santo,BR,2020-05-22,Extended,Store Event,6
Corona Renegades Tournament,,Arizona,US,2020-05-20,Extended,Other,58
GSP Space Jam #2 - Rome,Rome,,IT,2020-05-16,Extended,Other,146
Gamescape May S.I.P. Tournament,TTS,CA,US,2020-05-16,Extended,Store Event,9
TTS X-WING ZAVRSNI MASTERS 19/20,TTS,Serbia,RS,2020-05-12,Extended,Store Event,11
TAVASZ ÁSZA 3/6 - 2020,Magyar X-Wing Közösség,Budapest,HU,2020-05-12,Extended,Store Event,11
MÁJUSI ONLINE X-WING VERSENY,Magyar X-Wing Közösség,Budapest,HU,2020-05-10,Extended,Other,12
